date,market_price_usd,tx_volume_usd,tx_count,hash_rate,avg_tx_value_usd
2024-05-26,69272.7,3376577962.077557,852655.0,704697036.5005332,48840.816678730014
2024-05-27,68486.54,3759980652.3522434,551610.0,515938901.7236049,54274.666722719994
2024-05-28,69374.17,25126148317.408638,596790.0,562079779.1135205,367648.1795690099
2024-05-29,68289.6,6388638321.04567,725428.0,574663654.7653158,94104.78755007997
2024-05-30,67573.91,8488992411.997545,510417.0,515938901.7236049,124264.76485387003
2024-05-31,68352.44,9197804710.416952,701471.0,620804532.1552316,135708.75148354002
2024-06-01,67484.93,2035171781.513369,740030.0,591442155.634376,30049.970678470003
2024-06-02,67719.29,1639206773.6388125,729202.0,587247530.4171109,24141.21555844
2024-06-03,67752.27,10231630580.222765,769224.0,658556159.1106174,147789.85085388995
2024-06-04,68803.11,8099405366.314405,627980.0,562079779.1135205,116066.38304545
2024-06-05,70553.24,9970731483.523262,562049.0,515938901.7236049,140166.29931454995
2024-06-06,71083.68,7566456857.2989645,613472.0,554910858.050012,106445.65392700002
2024-06-07,70764.24,9046106615.578749,263982.0,590944002.9609013,127860.86408677997
2024-06-08,69331.66,3010368337.856259,509927.0,715791327.5301057,43350.725917400014
2024-06-09,69297.93,1356745169.9412165,767920.0,636721355.302943,19528.93241763
2024-06-10,69645.28,7071634843.4280405,658037.0,578459270.5039809,101440.64751798002
2024-06-11,69513.23,8300820379.970086,463737.0,511874030.7337383,123471.59422520999
2024-06-12,67332.0,7993241570.379265,690560.0,607590312.9034619,116167.33296763
2024-06-13,68239.79,5447481273.682415,731254.0,603428735.4178218,81101.72364118
2024-06-14,66757.59,7752072910.629316,604349.0,532681918.1619392,116742.07703110001
2024-06-15,65993.49,2182888818.589143,452945.0,557651383.07578,32981.41922362999
2024-06-16,66188.17,1577243596.909229,461748.0,678337130.1593444,23723.23690125999
2024-06-17,66636.85,6504943989.828709,441215.0,582620847.9896209,98535.54132168996
2024-06-18,66480.82,8142461537.978515,617202.0,632559777.8173028,125080.45618688999
2024-06-19,65148.41,4194286630.621904,634554.0,570136115.5327007,64194.353125600006
2024-06-20,64960.21,6897447731.90798,532756.0,553323137.1046984,105586.56031047003
2024-06-21,64830.29,5839766773.132086,592843.0,582332779.002438,91007.03481661003
2024-06-22,64095.5,5441303997.531913,681420.0,632247017.2026471,84459.62185571
2024-06-23,64251.26,1479938986.0844269,492352.0,465866223.2019504,23037.189690709998
2024-06-24,63167.3,9211986161.082127,528326.0,632247017.2026471,151096.84188699012
2024-06-25,60279.54,7946145283.243041,536347.0,515780461.4021594,129254.63905997999
2024-06-26,61795.24,6539916736.601309,490817.0,503301901.8521072,106389.71980544
2024-06-27,60808.17,10565765822.368536,414624.0,540737580.5022639,171791.33736983
2024-06-28,61616.04,8362849210.30259,593984.0,561535179.7523509,136819.99680840998
2024-06-29,60315.67,2587218662.591855,712249.0,653044616.4527341,42405.77290476002
2024-06-30,60871.03,,505127.0,503301901.8521072,
2024-07-01,62676.36,7238212215.877723,611062.0,586492298.8524554,114319.63961915998
2024-07-02,62845.12,5251483422.359735,592285.0,615608937.8025774,84017.61918933998
2024-07-03,62028.38,5633224518.403391,545044.0,603130378.2525251,93038.26155550001
2024-07-04,60145.84,8872506195.657322,538097.0,582332779.002438,151611.54281763
2024-07-05,57034.05,17072634339.062922,490537.0,481691507.2021622,304202.89921388
2024-07-06,56648.56,3146711262.5946255,658042.0,652035052.9717106,54983.69851056998
2024-07-07,58265.25,2278555072.733085,673752.0,557193590.72128,39652.49628178
2024-07-08,55848.73,10703012141.302937,593010.0,628324687.409103,189101.97643026992
2024-07-09,56706.26,7917211325.057808,654037.0,608566049.4402633,137520.80033226
2024-07-10,58011.47,8254401496.318952,631745.0,537434952.7524403,141763.65667850996
2024-07-11,57743.11,7191349803.164905,642066.0,553241863.127512,123598.58561874997
2024-07-12,57351.64,7362339048.252724,658355.0,592759139.0651915,127484.77047477002
2024-07-13,57907.93,2761173151.654501,735686.0,608566049.4402633,47037.43967714998
2024-07-14,59231.12,1663806010.8954782,586548.0,659938508.1592464,27645.447154709997
2024-07-15,60798.16,8843917880.771624,552901.0,604614321.8464954,140103.29626199006
2024-07-16,64859.79,12446978850.299572,529056.0,580903956.2838876,194696.66869718986
2024-07-17,65077.23,7739487792.722873,615870.0,628324687.409103,118975.64447465005
2024-07-18,64104.91,6732472480.378525,445574.0,515102118.23597115,104787.41392117
2024-07-19,63968.61,8528315185.2865925,507940.0,599556361.5235602,129829.41498889004
2024-07-20,66712.66,3598982164.152902,680335.0,672971426.1999145,53855.52802164999
2024-07-21,67164.74,2500846849.1716294,859629.0,689285885.0168821,37138.39250192998
2024-07-22,68155.67,9717578991.658886,824999.0,730072032.0593011,144065.95838611014
2024-07-23,67597.26,14515028690.791712,838977.0,689285885.0168821,217971.39836976
2024-07-24,65920.76,8943563782.017931,596458.0,571006058.5938667,135064.88490068
2024-07-25,65357.71,7867610940.380128,719711.0,664814196.7914306,121616.44331942
2024-07-26,65790.91,7332170770.1329155,459067.0,652578352.6787051,108616.14930718999
2024-07-27,67914.86,4232975746.9635262,445730.0,628106664.4532535,61706.37857815997
2024-07-28,67826.14,2767696675.7889442,753703.0,603634976.227802,40724.42687263
2024-07-29,68257.42,9902659739.016802,826129.0,725993417.3550591,144819.71872774992
2024-07-30,66777.36,15119384835.083057,683096.0,611792205.6362859,227636.17139027998
2024-07-31,66180.0,9602772099.094246,562819.0,613215974.0238556,145199.13403895
2024-08-01,64621.73,8155277551.651909,544430.0,630987879.9602102,127427.52058829003
2024-08-02,65297.77,9809266028.523855,410113.0,563382035.6787592,153427.09497822993
2024-08-03,61410.11,2308110370.827175,504062.0,608452598.53306,37638.74455165002
2024-08-04,60676.68,3460899185.172749,524595.0,644509048.8165007,57907.07418295
2024-08-05,58116.46,13237735958.448278,548857.0,703100780.5270916,247871.87057516
2024-08-06,53978.78,6808433062.101782,485173.0,630987879.9602102,121638.16845454
2024-08-07,56082.71,7893851552.6037655,380097.0,549860866.8224689,139727.41691012002
2024-08-08,55033.47,6532994035.445488,487399.0,581410260.8204794,111748.67895708999
2024-08-09,61698.9,7901052207.058065,396419.0,585917317.1059096,130271.8652193
2024-08-10,60879.41,3834508484.859348,548777.0,581410260.8204794,63053.215320670024
2024-08-11,60943.19,1565215178.617859,644814.0,725636061.954242,25870.19868151002
2024-08-12,58717.0,6152997429.581423,450024.0,617466711.1039201,103647.66281320002
2024-08-13,59350.07,7149997426.564984,579618.0,671551386.529081,119561.70868224994
2024-08-14,60600.35,6988791297.667786,504701.0,594742777.8026003,116536.52553099999
2024-08-15,58727.43,5391558140.144841,660924.0,690944705.8016886,91852.23819428998
2024-08-16,57523.47,4199825226.3043375,575811.0,613213426.3989986,71618.09237166
2024-08-17,58886.74,1860988054.6251378,702540.0,643442257.2778225,31318.33453520001
2024-08-18,59483.03,1842005986.3217332,769702.0,673671088.1566465,30790.729698829986
2024-08-19,58445.98,6312008781.440564,553394.0,561392573.463872,107451.05363584004
2024-08-20,59475.91,5274305723.816394,717337.0,647760661.689083,87530.17861288
2024-08-21,59024.54,5478969193.046639,687685.0,634805448.4553014,91072.09046344999
2024-08-22,61170.43,5779831062.841158,795102.0,690944705.8016886,95129.96813056001
